question,option a,option b,option c,option d,correct,topic,,,,
What is the capital of France?,Paris,London,Berlin,Madrid,Paris,Geography,,,,
Which continent is the Sahara Desert located in?,Asia,Africa,Australia,South America,Africa,Geography,,,,
What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,Nile,Geography,,,,
Mount Everest is located in which mountain range?,Andes,Himalayas,Rockies,Alps,Himalayas,Geography,,,,
Which country has the largest population?,India,USA,China,Russia,China,Geography,,,,
What is the smallest country in the world?,Monaco,Vatican City,San Marino,Luxembourg,Vatican City,Geography,,,,
The Great Barrier Reef is off the coast of which country?,South Africa,Australia,Brazil,USA,Australia,Geography,,,,
Which ocean is the largest?,Atlantic,Indian,Arctic,Pacific,Pacific,Geography,,,,
What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,Tokyo,Geography,,,,
Which country is known as the Land of the Rising Sun?,China,Japan,South Korea,Thailand,Japan,Geography,,,,
What is the largest desert in the world?,Sahara,Gobi,Antarctic,Arabian,Antarctic,Geography,,,,
"Which U.S. state is known as the ""Sunshine State""?",California,Florida,Texas,Hawaii,Florida,Geography,,,,
What is the official language of Brazil?,Spanish,Portuguese,French,English,Portuguese,Geography,,,,
Which river flows through the Grand Canyon?,Colorado,Mississippi,Amazon,Nile,Colorado,Geography,,,,
What is the capital city of Canada?,Toronto,Ottawa,Vancouver,Montreal,Ottawa,Geography,,,,
Which country has the most time zones?,USA,Russia,France,China,France,Geography,,,,
The city of Istanbul is located in which two continents?,Europe and Asia,Europe and Africa,Asia and Australia,Asia and South America,Europe and Asia,Geography,,,,
"Which mountain is known as ""The Matterhorn""?",Mont Blanc,Everest,Matterhorn,K2,Matterhorn,Geography,,,,
Which is the smallest continent by land area?,Australia,Europe,Antarctica,South America,Australia,Geography,,,,
Which country is famous for the fjords?,Norway,Sweden,Finland,Denmark,Norway,Geography,,,,
What is the capital of Egypt?,Cairo,Alexandria,Luxor,Giza,Cairo,Geography,,,,
Which country is the largest by land area?,Canada,China,USA,Russia,Russia,Geography,,,,
Which continent has the most countries?,Africa,Europe,Asia,South America,Africa,Geography,,,,
"Which city is known as the ""Big Apple""?",Los Angeles,Chicago,New York,Boston,New York,Geography,,,,
Which river is the longest in South America?,Amazon,Nile,Mississippi,Yangtze,Amazon,Geography,,,,
What is the capital of Australia?,Sydney,Canberra,Melbourne,Brisbane,Canberra,Geography,,,,
Which country is the leading producer of coffee?,Vietnam,Brazil,Colombia,Ethiopia,Brazil,Geography,,,,
Which US state is famous for its geysers and hot springs?,California,Montana,Wyoming,Colorado,Wyoming,Geography,,,,
Which desert covers much of Mongolia and China?,Gobi,Sahara,Kalahari,Thar,Gobi,Geography,,,,
What is the highest waterfall in the world?,Niagara,Falls of Iguazu,Angel Falls,Yosemite,Angel Falls,Geography,,,,
Which country has the largest number of islands?,Indonesia,Sweden,Philippines,Finland,Sweden,Geography,,,,
Which European capital city is built on 14 islands?,Venice,Amsterdam,Stockholm,Copenhagen,Stockholm,Geography,,,,
"Which country is known as the ""Land of a Thousand Lakes""?",Canada,Finland,Sweden,Norway,Finland,Geography,,,,
What is the deepest ocean trench in the world?,Mariana Trench,Tonga Trench,Java Trench,Puerto Rico Trench,Mariana Trench,Geography,,,,
Which US city is famous for the Space Needle?,Seattle,San Francisco,Denver,Chicago,Seattle,Geography,,,,
Which continent is also a country?,Australia,Greenland,Madagascar,Antarctica,Australia,Geography,,,,
Which country is home to the ancient city of Petra?,Jordan,Egypt,Turkey,Lebanon,Jordan,Geography,,,,
What is the largest island in the world?,Greenland,Madagascar,Borneo,New Guinea,Greenland,Geography,,,,
Which African country was formerly known as Abyssinia?,Ethiopia,Kenya,Nigeria,Sudan,Ethiopia,Geography,,,,
Which river forms part of the border between the USA and Mexico?,Mississippi,Colorado,Rio Grande,Columbia,Rio Grande,Geography,,,,
Which city is the capital of Thailand?,Bangkok,Hanoi,Phnom Penh,Jakarta,Bangkok,Geography,,,,
